Date,Open,High,Low,Close,Adj Close,Volume
2013-08-07,969.9000244140624,969.9000244140624,906.0999755859376,920.5999755859376,881.7525024414062,366308
2013-08-08,915.5499877929688,950.0,905.0,909.9000244140624,871.5040893554688,187674
2013-08-12,915.0,949.4000244140624,911.5499877929688,944.2000122070312,904.3566284179688,128798
2013-08-13,948.0,954.9500122070312,928.6500244140624,939.25,899.6155395507812,227765
2013-08-14,945.5,973.8499755859376,927.0,968.7000122070312,927.82275390625,105181
2013-08-16,965.0,990.0,960.0,981.2999877929688,939.8910522460938,255167
2013-08-19,983.0,983.0,910.0999755859376,912.4500122070312,873.9464111328125,138345
2013-08-20,911.0,911.0,801.2000122070312,827.2999877929688,792.3895874023438,381916
2013-08-21,833.0,932.5999755859376,833.0,887.1500244140625,849.7139892578125,690446
2013-08-22,866.0,894.0,846.2000122070312,883.7999877929688,846.5052490234375,269311
2013-08-23,893.0,922.0,885.0999755859375,907.2000122070312,868.9180297851562,191892
2013-08-26,901.5999755859376,915.0,896.25,905.5499877929688,867.337646484375,136803
2013-08-27,900.0,908.9500122070312,876.0999755859375,883.3499755859375,846.0743408203125,82453
2013-08-28,886.0,886.0,850.0,858.6500244140625,822.4166259765625,190054
2013-08-29,860.75,879.0,851.0499877929688,863.2999877929688,826.870361328125,219627
2013-08-30,866.0,872.0,850.0499877929688,864.5499877929688,828.0678100585938,349158
2013-09-02,861.0,869.4000244140625,853.5499877929688,856.0999755859375,819.9743041992188,188803
2013-09-03,857.0499877929688,863.0,845.0,850.2000122070312,814.3232421875,96769
2013-09-04,850.0,858.4000244140625,847.5,852.4000244140625,816.4304809570312,304014
2013-09-05,862.0,875.0,847.2999877929688,850.7000122070312,814.8021850585938,440505
2013-09-06,851.2999877929688,859.4000244140625,847.0,850.4000244140625,814.5148315429688,103161
2013-09-10,853.0,877.0,850.0499877929688,871.5999755859375,834.8202514648438,720490
2013-09-11,869.6500244140625,877.0,858.6500244140625,866.6500244140625,830.0790405273438,230317
2013-09-12,865.4000244140625,873.0,863.0,868.3499755859375,831.7073364257812,184116
2013-09-13,869.0,874.9500122070312,852.25,859.9500122070312,823.6619262695312,103820
2013-09-16,862.0499877929688,866.6500244140625,855.0999755859375,859.2999877929688,823.0391845703125,81144
2013-09-17,850.5,865.9000244140625,850.2999877929688,858.3499755859375,822.1292724609375,160356
2013-09-18,867.0,867.0,853.5999755859375,855.9000244140625,819.78271484375,67584
2013-09-19,865.0,893.7999877929688,860.1500244140625,885.5999755859375,848.2294311523438,172256
2013-09-20,886.0,892.75,855.4500122070312,864.5499877929688,828.0678100585938,201857
2013-09-23,860.0,881.4000244140625,859.9000244140625,877.7999877929688,840.758544921875,146178
2013-09-24,871.25,884.5,871.25,877.25,840.2316284179688,128829
2013-09-25,874.0,932.7999877929688,874.0,922.6500244140624,883.7159423828125,258585
